"kunta","vuosi","month","leave_m","leave_f","leave_mTaken","leave_fTaken","numFather","numMother","shareOver18","shareOverPaternity","shareNoLeave","shareUnderMaxMat"
"567",2009,8,263,18,263,18,15,16,0.0666666666666667,0,0.2,0
"233",2009,10,263,16,263,17.5,14,14,0.0714285714285714,0,0.285714285714286,0
"989",2009,5,263,18,263,18,7,7,0.142857142857143,0.142857142857143,0.285714285714286,0
"593",2009,4,263,18,263,18,14,16,0.0714285714285714,0.0714285714285714,0.357142857142857,0
"092",2009,11,263,18,263,18,206,219,0.276699029126214,0.029126213592233,0.286407766990291,0.0045662100456621
"050",2009,2,263,16,263,18,10,10,0.1,0,0.3,0
"430",2009,6,263,18,263,18,15,15,0.133333333333333,0.0666666666666667,0.333333333333333,0
"853",2009,5,263,18,263,18,138,141,0.210144927536232,0.0289855072463768,0.246376811594203,0.00709219858156028
"020",2009,8,263,8,263,18,14,13,0.142857142857143,0,0.5,0
"604",2009,5,263,18,263,18,22,21,0.318181818181818,0,0.181818181818182,0
"834",2009,7,263,18,263,18,6,7,0.166666666666667,0,0.166666666666667,0
"916",2009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631",2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743",2009,10,263,18,263,18,61,63,0.262295081967213,0.0327868852459016,0.229508196721311,0.0158730158730159
"595",2009,6,263,18,263,30,5,5,0.4,0.2,0.2,0
"202",2009,5,263,18,263,18,30,29,0.3,0.0333333333333333,0.2,0
"859",2009,8,263,18,263,18,12,12,0.25,0,0.0833333333333333,0
"762",2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499",2009,4,263,18,263,18,24,23,0.291666666666667,0.125,0.166666666666667,0
"837",2009,3,263,18,263,18,180,184,0.227777777777778,0.0277777777777778,0.355555555555556,0
"205",2009,9,263,14,263,18,36,37,0.194444444444444,0.0555555555555556,0.444444444444444,0
"743",2009,11,263,18,263,18,63,65,0.238095238095238,0,0.222222222222222,0
"684",2009,1,263,18,263,18,39,38,0.205128205128205,0.0256410256410256,0.256410256410256,0.0263157894736842
"240",2009,9,263,12,263,18,9,12,0.111111111111111,0.111111111111111,0.333333333333333,0.166666666666667
"273",2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",2009,8,263,17,263,18,16,15,0.0625,0,0.3125,0
"109",2009,6,263,18,263,18,52,51,0.230769230769231,0,0.211538461538462,0
"226",2009,6,263,13,263,18,5,5,0,0,0.4,0
"440",2009,7,263,18,263,18,5,5,0,0,0.2,0
"290",2009,1,263,18,263,18,7,7,0.142857142857143,0,0.285714285714286,0
"060",2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",2009,4,263,17,263,18,36,36,0.0555555555555556,0,0.333333333333333,0
"851",2009,8,263,18,263,18,22,23,0.136363636363636,0,0.363636363636364,0.0434782608695652
"426",2009,11,251,30,251,36,9,9,0.555555555555556,0.111111111111111,0.111111111111111,0.111111111111111
"286",2009,2,263,18,263,18,54,56,0.166666666666667,0.0185185185185185,0.240740740740741,0
"755",2009,9,263,18,263,18,11,9,0,0,0.363636363636364,0
"092",2009,1,263,18,263,18,238,247,0.277310924369748,0.0336134453781513,0.247899159663866,0
"049",2009,12,263,18,263,18,282,293,0.269503546099291,0.0319148936170213,0.26241134751773,0.0102389078498294
"734",2009,11,263,17,263,18,38,37,0.184210526315789,0,0.236842105263158,0
"009",2009,12,263,15,263,16.5,5,5,0.2,0,0.2,0
"164",2009,7,263,8,263,18,8,7,0,0,0.5,0
"061",2009,12,263,6,263,18,12,10,0.0833333333333333,0,0.5,0
"186",2009,3,263,18,263,18,44,45,0.25,0.0227272727272727,0.227272727272727,0
"171",2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",2009,10,263,18,263,18,16,18,0.1875,0,0.25,0
"564",2009,8,263,17,263,18,170,167,0.158823529411765,0.0294117647058824,0.317647058823529,0.0119760479041916
"749",2009,3,263,18,263,18,21,22,0.142857142857143,0,0.238095238095238,0
"581",2009,1,263,12,263,18,5,6,0,0,0.4,0
"145",2009,3,263,11,263,18,10,9,0.1,0,0.4,0
"179",2009,6,263,18,263,18,122,127,0.180327868852459,0.0163934426229508,0.229508196721311,0.0078740157480315
"503",2009,3,263,18,263,18,10,11,0.2,0,0,0
"604",2009,2,263,18,263,18,22,21,0.363636363636364,0.136363636363636,0.0909090909090909,0
"560",2009,9,263,17,263,18,10,9,0,0,0.3,0
"153",2009,12,263,17,263,18,24,28,0.166666666666667,0.0416666666666667,0.333333333333333,0
"179",2009,1,263,18,263,18,126,126,0.158730158730159,0.0317460317460317,0.285714285714286,0
"322",2009,11,263,18,263,18,7,8,0.142857142857143,0,0.285714285714286,0
